yearmonth,pr,eto,tasmin,tasmax,tas
1986 Jul,184.068784527525,115.236364243299,21.9577044428567,30.1396782265794,26.0486913347181
1986 Aug,28.7934988264501,140.079123736839,23.0922819003961,33.3540574063052,28.2231696533506
1986 Sep,138.42942452854,129.341913680353,23.22569138905,32.2437802023201,27.7347357956851
1986 Oct,245.007195895946,122.639509539632,23.2356515215608,31.8587118037035,27.5471816626321
1986 Nov,246.153457788321,115.768936476059,23.1454524568787,31.3542048907609,27.2498286738198
1986 Dec,202.375406039537,117.512063651395,22.9301462779634,31.5969968279893,27.2635715529763
1987 Jan,296.394400331396,110.250512815791,22.2855701584879,30.2128107919564,26.2491904752221
1987 Feb,276.446409428613,110.358841960952,22.6990862090207,30.8610446523633,26.780065430692
1987 Mar,276.586048227795,106.634798473155,22.8671434165458,31.258631226215,27.0628873213804
1987 Apr,396.254683725933,99.6701253638465,22.4381154780792,31.0021471990401,26.7201313385597
1987 May,228.427568446955,110.227232949974,22.7362201065934,31.2231410489462,26.9796805777698
1987 Jun,132.449994149293,109.842737642266,22.3867419158213,31.1754781967554,26.7811100562884
1987 Jul,69.5916514170946,123.386495724232,22.8849471034519,32.7066398539783,27.7957934787151
1987 Aug,116.613919844994,128.422451531393,22.728346040263,32.4939728584151,27.611159449339
1987 Sep,123.878302720877,139.69545828097,23.256666949797,33.6050941399569,28.4308805448769
1987 Oct,81.8300709019046,142.05433068614,23.6647754042266,34.0211377650824,28.8429565846545
1987 Nov,94.8811530784742,136.980841948436,23.4448144811145,33.2683734133869,28.3565939472507
1987 Dec,173.238446314659,118.583810209523,23.5829353678383,32.6008724941509,28.0919039309946
1988 Jan,332.396272382793,112.431041800764,22.6408994146421,30.8724895320018,26.7566944733219
1988 Feb,356.786626623932,93.5471886643291,23.0603538381642,30.8113307365226,26.9358422873434
1988 Mar,228.58224973735,114.827819168215,23.5417870843563,31.6770319744794,27.6094095294178
1988 Apr,272.667170527419,96.57729738986,23.4160117064707,31.112438842954,27.2642252747124
1988 May,390.456156757456,93.964881547104,23.4851419977114,30.5514912879246,27.018316642818
1988 Jun,248.162933112602,97.2590699421584,22.6790812716211,30.3305017151541,26.5047914933876
1988 Jul,155.714296377622,117.148868071257,22.8837690697437,31.1974717311491,27.0406204004464
1988 Aug,73.9462903942582,127.45985225954,23.2637982798979,32.7720792107419,28.0179387453199
1988 Sep,101.784592800592,133.051435325273,23.6427711009039,33.1524171200965,28.3975941105002
1988 Oct,169.011554898595,133.945015553187,23.3891055519787,32.8276579016423,28.1083817268105
1988 Nov,229.749258718547,113.848106576141,22.8348529247607,31.8066220097288,27.3207374672448
1988 Dec,267.750980190977,105.982818672643,22.7230925599135,31.3847281180577,27.0539103389856
1989 Jan,252.221435885458,107.324007896277,22.495193014711,30.7867102724015,26.6409516435562
1989 Feb,329.798190325675,91.4550362733694,22.4122016294871,29.4133112476926,25.9127564385899
1989 Mar,292.568303779738,98.9658218206033,22.3505614754534,30.3915160540111,26.3710387647323
1989 Apr,335.382174971541,100.008885100043,22.8784706217297,30.4890119514992,26.6837412866145
1989 May,437.938110712717,91.4500328457567,22.5353931489622,29.6974637460609,26.1164284475115
1989 Jun,250.963549619596,100.860782193009,22.7239268801386,30.4820637712347,26.6029953256867
1989 Jul,139.51798928842,109.79277407206,22.079459776517,29.9593410127876,26.0194003946523
1989 Aug,80.980294475894,141.150628513133,23.1312542271127,32.6915165576618,27.9113853923873
1989 Sep,127.538683541428,139.117989312968,23.3286960684571,33.0988181183794,28.2137570934183
1989 Oct,181.898374122981,132.638446855827,23.1992277424625,31.9987782942336,27.5990030183481
1989 Nov,225.270990972688,107.325040272707,23.4157811926667,32.056071290462,27.7359262415643
1989 Dec,189.837159501025,106.801211592714,23.6805638009115,31.6904516524089,27.6855077266602
1990 Jan,249.499686641806,106.305276822762,23.1185250090242,30.9027027229153,27.0106138659698
1990 Feb,240.265566876654,83.0802985747185,22.988584098832,30.5148844005491,26.7517342496906
1990 Mar,289.342407226562,101.505655838893,23.106384429888,30.7889418076823,26.9476631187851
1990 Apr,335.960209660276,96.1704990398249,22.9784484930998,30.7562349496273,26.8673417213636
1990 May,311.594311482808,105.512549683893,23.336665194461,31.4574595162103,27.3970623553357
1990 Jun,182.711452117333,109.996705972231,22.9378683910332,31.5705071334538,27.2541877622435
1990 Jul,154.054115069688,108.693508760464,22.1047728640998,31.0007563112437,26.5527645876718
1990 Aug,109.68035460647,124.056252253126,22.588459428473,32.2414449159142,27.4149521721936
1990 Sep,76.5379672713534,133.262072144175,22.2126566997882,32.9237508529272,27.5682037763577
1990 Oct,64.1547276479958,139.01447142934,23.2951659136862,34.8083104743237,29.0517381940049
1990 Nov,152.257416756195,125.163715507857,23.2317245163626,33.8825002546141,28.5571123854884
1990 Dec,209.297948179866,106.849848642152,22.6235727389183,32.831174412855,27.7273735758866
1991 Jan,275.774935016971,100.695499641655,22.5965171809596,30.0447114022276,26.3206142915936
1991 Feb,232.451428667328,95.2701342712493,22.8453665178707,30.5539051021244,26.6996358099975
1991 Mar,312.158787450847,89.5999140556042,22.6535314096479,30.0141986822167,26.3338650459323
1991 Apr,296.055308539486,100.690861776736,22.4175629418277,30.5641874162873,26.4908751790575
1991 May,281.289249533027,93.7535087829511,22.6945164788427,30.3686923034138,26.5316043911282
1991 Jun,223.208470530764,103.398713761533,22.9830134363569,30.8256428855881,26.9043281609725
1991 Jul,158.058032470342,110.918527641945,22.403376083607,30.9442014299201,26.6737887567636
1991 Aug,100.899494405329,114.400442574151,22.0758806972427,31.5646049203161,26.8202428087794
1991 Sep,72.0858687000162,117.195052879096,22.8987407881833,32.5018704209337,27.7003056045585
