experiment_id,variable_long_name0,variable_id,source_id0,variable_long_name,source_id,dir,file_name,path
ssp245,Near-Surface Air Temperature,tas,IITM-ESM,near_surface_air_temperature,iitm_esm,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/iitm_esm/ssp245,tas_ssp245_iitm_esm.zip,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/iitm_esm/ssp245/tas_ssp245_iitm_esm.zip
ssp245,Near-Surface Air Temperature,tas,TaiESM1,near_surface_air_temperature,taiesm1,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/taiesm1/ssp245,tas_ssp245_taiesm1.zip,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/taiesm1/ssp245/tas_ssp245_taiesm1.zip
ssp245,Precipitation,pr,ACCESS-ESM1-5,precipitation,access_esm1_5,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/access_esm1_5/ssp245,pr_ssp245_access_esm1_5.zip,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/access_esm1_5/ssp245/pr_ssp245_access_esm1_5.zip
ssp245,Precipitation,pr,AWI-CM-1-1-MR,precipitation,awi_cm_1_1_mr,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/awi_cm_1_1_mr/ssp245,pr_ssp245_awi_cm_1_1_mr.zip,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/awi_cm_1_1_mr/ssp245/pr_ssp245_awi_cm_1_1_mr.zip
ssp245,Precipitation,pr,BCC-CSM2-MR,precipitation,bcc_csm2_mr,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/bcc_csm2_mr/ssp245,pr_ssp245_bcc_csm2_mr.zip,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/bcc_csm2_mr/ssp245/pr_ssp245_bcc_csm2_mr.zip
ssp245,Precipitation,pr,CAMS-CSM1-0,precipitation,cams_csm1_0,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/cams_csm1_0/ssp245,pr_ssp245_cams_csm1_0.zip,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/cams_csm1_0/ssp245/pr_ssp245_cams_csm1_0.zip
ssp245,Precipitation,pr,CanESM5,precipitation,canesm5,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/canesm5/ssp245,pr_ssp245_canesm5.zip,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/canesm5/ssp245/pr_ssp245_canesm5.zip
ssp245,Precipitation,pr,CAS-ESM2-0,precipitation,cas_esm2_0,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/cas_esm2_0/ssp245,pr_ssp245_cas_esm2_0.zip,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/cas_esm2_0/ssp245/pr_ssp245_cas_esm2_0.zip
ssp245,Precipitation,pr,CMCC-CM2-SR5,precipitation,cmcc_cm2_sr5,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/cmcc_cm2_sr5/ssp245,pr_ssp245_cmcc_cm2_sr5.zip,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/cmcc_cm2_sr5/ssp245/pr_ssp245_cmcc_cm2_sr5.zip
ssp245,Precipitation,pr,EC-Earth3-Veg-LR,precipitation,ec_earth3_veg_lr,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/ec_earth3_veg_lr/ssp245,pr_ssp245_ec_earth3_veg_lr.zip,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/ec_earth3_veg_lr/ssp245/pr_ssp245_ec_earth3_veg_lr.zip
ssp245,Precipitation,pr,FGOALS-f3-L,precipitation,fgoals_f3_l,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/fgoals_f3_l/ssp245,pr_ssp245_fgoals_f3_l.zip,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/fgoals_f3_l/ssp245/pr_ssp245_fgoals_f3_l.zip
ssp245,Precipitation,pr,IITM-ESM,precipitation,iitm_esm,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/iitm_esm/ssp245,pr_ssp245_iitm_esm.zip,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/iitm_esm/ssp245/pr_ssp245_iitm_esm.zip
ssp245,Precipitation,pr,TaiESM1,precipitation,taiesm1,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/taiesm1/ssp245,pr_ssp245_taiesm1.zip,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/taiesm1/ssp245/pr_ssp245_taiesm1.zip
ssp245,Surface Upward Latent Heat Flux,hfls,ACCESS-ESM1-5,surface_upward_latent_heat_flux,access_esm1_5,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/access_esm1_5/ssp245,hfls_ssp245_access_esm1_5.zip,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/access_esm1_5/ssp245/hfls_ssp245_access_esm1_5.zip
ssp245,Surface Upward Latent Heat Flux,hfls,AWI-CM-1-1-MR,surface_upward_latent_heat_flux,awi_cm_1_1_mr,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/awi_cm_1_1_mr/ssp245,hfls_ssp245_awi_cm_1_1_mr.zip,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/awi_cm_1_1_mr/ssp245/hfls_ssp245_awi_cm_1_1_mr.zip
ssp245,Surface Upward Latent Heat Flux,hfls,BCC-CSM2-MR,surface_upward_latent_heat_flux,bcc_csm2_mr,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/bcc_csm2_mr/ssp245,hfls_ssp245_bcc_csm2_mr.zip,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/bcc_csm2_mr/ssp245/hfls_ssp245_bcc_csm2_mr.zip
ssp245,Surface Upward Latent Heat Flux,hfls,CAMS-CSM1-0,surface_upward_latent_heat_flux,cams_csm1_0,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/cams_csm1_0/ssp245,hfls_ssp245_cams_csm1_0.zip,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/cams_csm1_0/ssp245/hfls_ssp245_cams_csm1_0.zip
ssp245,Surface Upward Latent Heat Flux,hfls,CAS-ESM2-0,surface_upward_latent_heat_flux,cas_esm2_0,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/cas_esm2_0/ssp245,hfls_ssp245_cas_esm2_0.zip,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/cas_esm2_0/ssp245/hfls_ssp245_cas_esm2_0.zip
ssp245,Surface Upward Latent Heat Flux,hfls,CMCC-CM2-SR5,surface_upward_latent_heat_flux,cmcc_cm2_sr5,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/cmcc_cm2_sr5/ssp245,hfls_ssp245_cmcc_cm2_sr5.zip,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/cmcc_cm2_sr5/ssp245/hfls_ssp245_cmcc_cm2_sr5.zip
ssp245,Surface Upward Latent Heat Flux,hfls,EC-Earth3-Veg-LR,surface_upward_latent_heat_flux,ec_earth3_veg_lr,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/ec_earth3_veg_lr/ssp245,hfls_ssp245_ec_earth3_veg_lr.zip,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/ec_earth3_veg_lr/ssp245/hfls_ssp245_ec_earth3_veg_lr.zip
ssp245,Surface Upward Latent Heat Flux,hfls,FGOALS-f3-L,surface_upward_latent_heat_flux,fgoals_f3_l,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/fgoals_f3_l/ssp245,hfls_ssp245_fgoals_f3_l.zip,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/fgoals_f3_l/ssp245/hfls_ssp245_fgoals_f3_l.zip
ssp245,Surface Upward Latent Heat Flux,hfls,FGOALS-g3,surface_upward_latent_heat_flux,fgoals_g3,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/fgoals_g3/ssp245,hfls_ssp245_fgoals_g3.zip,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/fgoals_g3/ssp245/hfls_ssp245_fgoals_g3.zip
ssp245,Surface Upward Latent Heat Flux,hfls,IITM-ESM,surface_upward_latent_heat_flux,iitm_esm,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/iitm_esm/ssp245,hfls_ssp245_iitm_esm.zip,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/iitm_esm/ssp245/hfls_ssp245_iitm_esm.zip
ssp245,Surface Upward Latent Heat Flux,hfls,TaiESM1,surface_upward_latent_heat_flux,taiesm1,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/taiesm1/ssp245,hfls_ssp245_taiesm1.zip,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/taiesm1/ssp245/hfls_ssp245_taiesm1.zip
ssp245,Surface Upward Sensible Heat Flux,hfss,ACCESS-ESM1-5,surface_upward_sensible_heat_flux,access_esm1_5,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/access_esm1_5/ssp245,hfss_ssp245_access_esm1_5.zip,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/access_esm1_5/ssp245/hfss_ssp245_access_esm1_5.zip
ssp245,Surface Upward Sensible Heat Flux,hfss,AWI-CM-1-1-MR,surface_upward_sensible_heat_flux,awi_cm_1_1_mr,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/awi_cm_1_1_mr/ssp245,hfss_ssp245_awi_cm_1_1_mr.zip,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/awi_cm_1_1_mr/ssp245/hfss_ssp245_awi_cm_1_1_mr.zip
ssp245,Surface Upward Sensible Heat Flux,hfss,BCC-CSM2-MR,surface_upward_sensible_heat_flux,bcc_csm2_mr,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/bcc_csm2_mr/ssp245,hfss_ssp245_bcc_csm2_mr.zip,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/bcc_csm2_mr/ssp245/hfss_ssp245_bcc_csm2_mr.zip
ssp245,Surface Upward Sensible Heat Flux,hfss,CAMS-CSM1-0,surface_upward_sensible_heat_flux,cams_csm1_0,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/cams_csm1_0/ssp245,hfss_ssp245_cams_csm1_0.zip,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/cams_csm1_0/ssp245/hfss_ssp245_cams_csm1_0.zip
ssp245,Surface Upward Sensible Heat Flux,hfss,CAS-ESM2-0,surface_upward_sensible_heat_flux,cas_esm2_0,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/cas_esm2_0/ssp245,hfss_ssp245_cas_esm2_0.zip,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/cas_esm2_0/ssp245/hfss_ssp245_cas_esm2_0.zip
ssp245,Surface Upward Sensible Heat Flux,hfss,CMCC-CM2-SR5,surface_upward_sensible_heat_flux,cmcc_cm2_sr5,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/cmcc_cm2_sr5/ssp245,hfss_ssp245_cmcc_cm2_sr5.zip,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/cmcc_cm2_sr5/ssp245/hfss_ssp245_cmcc_cm2_sr5.zip
ssp245,Surface Upward Sensible Heat Flux,hfss,EC-Earth3-Veg-LR,surface_upward_sensible_heat_flux,ec_earth3_veg_lr,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/ec_earth3_veg_lr/ssp245,hfss_ssp245_ec_earth3_veg_lr.zip,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/ec_earth3_veg_lr/ssp245/hfss_ssp245_ec_earth3_veg_lr.zip
ssp245,Surface Upward Sensible Heat Flux,hfss,FGOALS-f3-L,surface_upward_sensible_heat_flux,fgoals_f3_l,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/fgoals_f3_l/ssp245,hfss_ssp245_fgoals_f3_l.zip,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/fgoals_f3_l/ssp245/hfss_ssp245_fgoals_f3_l.zip
ssp245,Surface Upward Sensible Heat Flux,hfss,FGOALS-g3,surface_upward_sensible_heat_flux,fgoals_g3,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/fgoals_g3/ssp245,hfss_ssp245_fgoals_g3.zip,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/fgoals_g3/ssp245/hfss_ssp245_fgoals_g3.zip
ssp245,Surface Upward Sensible Heat Flux,hfss,IITM-ESM,surface_upward_sensible_heat_flux,iitm_esm,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/iitm_esm/ssp245,hfss_ssp245_iitm_esm.zip,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/iitm_esm/ssp245/hfss_ssp245_iitm_esm.zip
ssp245,Surface Upward Sensible Heat Flux,hfss,TaiESM1,surface_upward_sensible_heat_flux,taiesm1,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/taiesm1/ssp245,hfss_ssp245_taiesm1.zip,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/taiesm1/ssp245/hfss_ssp245_taiesm1.zip
ssp370,Daily Maximum Near-Surface Air Temperature,tasmax,ACCESS-CM2,daily_maximum_near_surface_air_temperature,access_cm2,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/access_cm2/ssp370,tasmax_ssp370_access_cm2.zip,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/access_cm2/ssp370/tasmax_ssp370_access_cm2.zip
ssp370,Daily Maximum Near-Surface Air Temperature,tasmax,ACCESS-ESM1-5,daily_maximum_near_surface_air_temperature,access_esm1_5,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/access_esm1_5/ssp370,tasmax_ssp370_access_esm1_5.zip,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/access_esm1_5/ssp370/tasmax_ssp370_access_esm1_5.zip
ssp370,Daily Maximum Near-Surface Air Temperature,tasmax,AWI-CM-1-1-MR,daily_maximum_near_surface_air_temperature,awi_cm_1_1_mr,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/awi_cm_1_1_mr/ssp370,tasmax_ssp370_awi_cm_1_1_mr.zip,/Users/scottericr/Documents/heliconia-cmip/data_raw/CMIP6/awi_cm_1_1_mr/ssp370/tasmax_ssp370_awi_cm_1_1_mr.zip
